host,phage,assay,filter,dilution,ml.plated,counts,heat.min,group,date
wt,noPhage,CFU,FALSE,1.00E-06,0.1,76,0,preliminary,20200118
wt,noPhage,CFU,FALSE,1.00E-06,0.1,80,10,preliminary,20200118
wt,noPhage,CFU,FALSE,1.00E-06,0.1,105,20,preliminary,20200118
wt,noPhage,CFU,FALSE,1.00E-06,0.1,53,30,preliminary,20200118
wt,noPhage,CFU,FALSE,1.00E-06,0.1,76,40,preliminary,20200118
dsspAB,noPhage,CFU,FALSE,1.00E-06,0.1,62,0,preliminary,20200118
dsspAB,noPhage,CFU,FALSE,1.00E-06,0.1,40,10,preliminary,20200118
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,119,20,preliminary,20200118
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,46,30,preliminary,20200118
dsspAB,noPhage,CFU,FALSE,1.00E-04,0.1,69,40,preliminary,20200118
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,171,0,preliminary,20200118
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,142,10,preliminary,20200118
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,86,20,preliminary,20200118
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,93,30,preliminary,20200118
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,39,40,preliminary,20200118
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,148,0,preliminary,20200118
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,199,10,preliminary,20200118
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,114,20,preliminary,20200118
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,80,30,preliminary,20200118
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,69,40,preliminary,20200118
wt,noPhage,CFU,FALSE,1.00E-06,0.1,130,0,preliminary,20200121
wt,noPhage,CFU,FALSE,1.00E-06,0.1,100,10,preliminary,20200121
wt,noPhage,CFU,FALSE,1.00E-06,0.1,84,20,preliminary,20200121
wt,noPhage,CFU,FALSE,1.00E-06,0.1,80,30,preliminary,20200121
wt,noPhage,CFU,FALSE,1.00E-06,0.1,80,40,preliminary,20200121
dsspAB,noPhage,CFU,FALSE,1.00E-06,0.1,81,0,preliminary,20200121
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,134,10,preliminary,20200121
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,29,20,preliminary,20200121
dsspAB,noPhage,CFU,FALSE,1.00E-04,0.1,44,30,preliminary,20200121
dsspAB,noPhage,CFU,FALSE,1.00E-04,0.1,6,40,preliminary,20200121
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,90,0,preliminary,20200121
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,125,10,preliminary,20200121
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,107,20,preliminary,20200121
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,63,30,preliminary,20200121
dsspC,noPhage,CFU,FALSE,1.00E-05,0.1,35,40,preliminary,20200121
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,133,0,preliminary,20200121
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,117,10,preliminary,20200121
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,105,20,preliminary,20200121
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,65,30,preliminary,20200121
dsspD,noPhage,CFU,FALSE,1.00E-05,0.1,53,40,preliminary,20200121
dsspAB,SPO1,PFU,FALSE,1.00E-06,0.1,79,0,preliminary,20200304
dsspAB,SPO1,PFU,FALSE,1.00E-05,0.1,71,10,preliminary,20200304
dsspAB,SPO1,PFU,FALSE,1.00E-04,0.1,93,20,preliminary,20200304
dsspAB,SPO1,PFU,FALSE,1.00E-04,0.1,23,30,preliminary,20200304
dsspAB,SPO1,PFU,FALSE,1.00E-04,0.1,2,40,preliminary,20200304
dsspAB,SPO1,PFU,TRUE,1.00E-03,0.1,40,0,preliminary,20200304
dsspAB,SPO1,PFU,TRUE,1.00E-02,0.1,60,10,preliminary,20200304
dsspAB,SPO1,PFU,TRUE,1.00E-02,0.1,1,20,preliminary,20200304
dsspAB,SPO1,PFU,TRUE,1.00E-02,0.1,0,30,preliminary,20200304
dsspAB,SPO1,PFU,TRUE,1.00E-02,0.1,0,40,preliminary,20200304
dsspAB,SPO1,CFU,FALSE,1.00E-05,0.1,68,0,preliminary,20200304
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,219,10,preliminary,20200304
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,176,20,preliminary,20200304
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,67,30,preliminary,20200304
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,42,40,preliminary,20200304
dsspAB,Goe2,PFU,FALSE,1.00E-06,0.1,35,0,preliminary,20200311
dsspAB,Goe2,PFU,FALSE,1.00E-04,0.1,183,10,preliminary,20200311
dsspAB,Goe2,PFU,FALSE,1.00E-04,0.1,89,20,preliminary,20200311
dsspAB,Goe2,PFU,FALSE,1.00E-04,0.1,37,30,preliminary,20200311
dsspAB,Goe2,PFU,FALSE,1.00E-04,0.1,27,40,preliminary,20200311
dsspAB,Goe2,PFU,TRUE,1.00E-02,0.1,TMC,0,preliminary,20200311
dsspAB,Goe2,PFU,TRUE,1.00E-02,0.1,3,10,preliminary,20200311
dsspAB,Goe2,PFU,TRUE,1.00E-02,0.1,0,20,preliminary,20200311
dsspAB,Goe2,PFU,TRUE,1.00E-02,0.1,0,30,preliminary,20200311
dsspAB,Goe2,PFU,TRUE,1.00E-02,0.1,0,40,preliminary,20200311
dsspAB,Goe2,CFU,FALSE,1.00E-05,0.1,101,0,preliminary,20200311
dsspAB,Goe2,CFU,FALSE,1.00E-04,0.1,221,10,preliminary,20200311
dsspAB,Goe2,CFU,FALSE,1.00E-04,0.1,93,20,preliminary,20200311
dsspAB,Goe2,CFU,FALSE,1.00E-04,0.1,59,30,preliminary,20200311
dsspAB,Goe2,CFU,FALSE,1.00E-04,0.1,34,40,preliminary,20200311
wt,SPO1,PFU,FALSE,1.00E-05,0.1,339,0,group.1,20200716
wt,SPO1,PFU,FALSE,1.00E-05,0.1,276,15,group.1,20200716
wt,SPO1,PFU,FALSE,1.00E-05,0.1,307,30,group.1,20200716
wt,SPO1,PFU,FALSE,1.00E-05,0.1,234,45,group.1,20200716
wt,SPO1,PFU,TRUE,1.00E-02,0.1,124,0,group.1,20200716
wt,SPO1,PFU,TRUE,1.00E-02,0.1,13,15,group.1,20200716
wt,SPO1,PFU,TRUE,1.00E-01,0.1,15,30,group.1,20200716
wt,SPO1,PFU,TRUE,1.00E-01,0.1,24,45,group.1,20200716
wt,SPO1,CFU,FALSE,1.00E-05,0.1,171,0,group.1,20200716
wt,SPO1,CFU,FALSE,1.00E-05,0.1,165,15,group.1,20200716
wt,SPO1,CFU,FALSE,1.00E-05,0.1,139,30,group.1,20200716
wt,SPO1,CFU,FALSE,1.00E-05,0.1,124,45,group.1,20200716
wt,Goe2,PFU,FALSE,1.00E-04,0.1,310,0,group.1,20200716
wt,Goe2,PFU,FALSE,1.00E-04,0.1,250,15,group.1,20200716
wt,Goe2,PFU,FALSE,1.00E-04,0.1,165,30,group.1,20200716
wt,Goe2,PFU,FALSE,1.00E-04,0.1,77,45,group.1,20200716
wt,Goe2,PFU,TRUE,1.00E-01,0.1,TMC,0,group.1,20200716
wt,Goe2,PFU,TRUE,1.00E-01,0.1,13,15,group.1,20200716
wt,Goe2,PFU,TRUE,1.00E-01,0.1,0,30,group.1,20200716
wt,Goe2,PFU,TRUE,1.00E-01,0.1,0,45,group.1,20200716
wt,Goe2,CFU,FALSE,1.00E-05,0.1,121,0,group.1,20200716
wt,Goe2,CFU,FALSE,1.00E-05,0.1,88,15,group.1,20200716
wt,Goe2,CFU,FALSE,1.00E-05,0.1,52,30,group.1,20200716
wt,Goe2,CFU,FALSE,1.00E-04,0.1,202,45,group.1,20200716
wt,noPhage,CFU,FALSE,1.00E-06,0.1,67,0,group.1,20200716
wt,noPhage,CFU,FALSE,1.00E-06,0.1,71,15,group.1,20200716
wt,noPhage,CFU,FALSE,1.00E-06,0.1,78,30,group.1,20200716
wt,noPhage,CFU,FALSE,1.00E-06,0.1,62,45,group.1,20200716
dsspAB,SPO1,PFU,FALSE,1.00E-06,0.1,105,0,group.1,20200716
dsspAB,SPO1,PFU,FALSE,1.00E-05,0.1,345,15,group.1,20200716
dsspAB,SPO1,PFU,FALSE,1.00E-05,0.1,166,30,group.1,20200716
dsspAB,SPO1,PFU,FALSE,1.00E-05,0.1,53,45,group.1,20200716
dsspAB,SPO1,PFU,TRUE,1.00E-02,0.1,TMC,0,group.1,20200716
dsspAB,SPO1,PFU,TRUE,1.00E-02,0.1,3,15,group.1,20200716
dsspAB,SPO1,PFU,TRUE,1.00E-02,0.1,0,30,group.1,20200716
dsspAB,SPO1,PFU,TRUE,1.00E-02,0.1,0,45,group.1,20200716
dsspAB,SPO1,CFU,FALSE,1.00E-05,0.1,88,0,group.1,20200716
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,243,15,group.1,20200716
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,156,30,group.1,20200716
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,77,45,group.1,20200716
dsspAB,Goe2,PFU,FALSE,1.00E-06,0.1,50,0,group.1,20200716
dsspAB,Goe2,PFU,FALSE,1.00E-05,0.1,197,15,group.1,20200716
dsspAB,Goe2,PFU,FALSE,1.00E-05,0.1,123,30,group.1,20200716
dsspAB,Goe2,PFU,FALSE,1.00E-05,0.1,52,45,group.1,20200716
dsspAB,Goe2,PFU,TRUE,1.00E-02,0.1,TMC,0,group.1,20200716
dsspAB,Goe2,PFU,TRUE,1.00E-02,0.1,0,15,group.1,20200716
dsspAB,Goe2,PFU,TRUE,1.00E-02,0.1,0,30,group.1,20200716
dsspAB,Goe2,PFU,TRUE,1.00E-02,0.1,2,45,group.1,20200716
dsspAB,Goe2,CFU,FALSE,1.00E-05,0.1,284,0,group.1,20200716
dsspAB,Goe2,CFU,FALSE,1.00E-05,0.1,191,15,group.1,20200716
dsspAB,Goe2,CFU,FALSE,1.00E-05,0.1,93,30,group.1,20200716
dsspAB,Goe2,CFU,FALSE,1.00E-04,0.1,153,45,group.1,20200716
dsspAB,noPhage,CFU,FALSE,1.00E-06,0.1,69,0,group.1,20200716
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,154,15,group.1,20200716
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,78,30,group.1,20200716
dsspAB,noPhage,CFU,FALSE,1.00E-04,0.1,132,45,group.1,20200716
wt,SPO1,PFU,FALSE,1.00E-06,0.1,57,0,group.2,20200723
wt,SPO1,PFU,FALSE,1.00E-06,0.1,54,15,group.2,20200723
wt,SPO1,PFU,FALSE,1.00E-06,0.1,51,30,group.2,20200723
wt,SPO1,PFU,FALSE,1.00E-06,0.1,53,45,group.2,20200723
wt,SPO1,PFU,TRUE,1.00E-03,0.1,4,0,group.2,20200723
wt,SPO1,PFU,TRUE,1.00E-01,0.1,0,15,group.2,20200723
wt,SPO1,PFU,TRUE,1.00E-01,0.1,0,30,group.2,20200723
wt,SPO1,PFU,TRUE,1.00E-01,0.1,0,45,group.2,20200723
wt,SPO1,CFU,FALSE,1.00E-05,0.1,196,0,group.2,20200723
wt,SPO1,CFU,FALSE,1.00E-05,0.1,116,15,group.2,20200723
wt,SPO1,CFU,FALSE,1.00E-05,0.1,138,30,group.2,20200723
wt,SPO1,CFU,FALSE,1.00E-05,0.1,94,45,group.2,20200723
wt,Goe2,PFU,FALSE,1.00E-05,0.1,91,0,group.2,20200723
wt,Goe2,PFU,FALSE,1.00E-05,0.1,86,15,group.2,20200723
wt,Goe2,PFU,FALSE,1.00E-05,0.1,53,30,group.2,20200723
wt,Goe2,PFU,FALSE,1.00E-04,0.1,176,45,group.2,20200723
wt,Goe2,PFU,TRUE,1.00E-03,0.1,84,0,group.2,20200723
wt,Goe2,PFU,TRUE,1.00E-01,0.1,0,15,group.2,20200723
wt,Goe2,PFU,TRUE,1.00E-01,0.1,0,30,group.2,20200723
wt,Goe2,PFU,TRUE,1.00E-01,0.1,0,45,group.2,20200723
wt,Goe2,CFU,FALSE,1.00E-05,0.1,190,0,group.2,20200723
wt,Goe2,CFU,FALSE,1.00E-05,0.1,143,15,group.2,20200723
wt,Goe2,CFU,FALSE,1.00E-05,0.1,82,30,group.2,20200723
wt,Goe2,CFU,FALSE,1.00E-05,0.1,47,45,group.2,20200723
wt,noPhage,CFU,FALSE,1.00E-05,0.1,274,0,group.2,20200723
wt,noPhage,CFU,FALSE,1.00E-05,0.1,221,15,group.2,20200723
wt,noPhage,CFU,FALSE,1.00E-05,0.1,192,30,group.2,20200723
wt,noPhage,CFU,FALSE,1.00E-05,0.1,201,45,group.2,20200723
dsspAB,SPO1,PFU,FALSE,1.00E-06,0.1,155,0,group.2,20200723
dsspAB,SPO1,PFU,FALSE,1.00E-05,0.1,202,15,group.2,20200723
dsspAB,SPO1,PFU,FALSE,1.00E-05,0.1,65,30,group.2,20200723
dsspAB,SPO1,PFU,FALSE,1.00E-04,0.1,176,45,group.2,20200723
dsspAB,SPO1,PFU,TRUE,1.00E-02,0.1,9,0,group.2,20200723
dsspAB,SPO1,PFU,TRUE,1.00E-01,0.1,0,15,group.2,20200723
dsspAB,SPO1,PFU,TRUE,1.00E-01,0.1,0,30,group.2,20200723
dsspAB,SPO1,PFU,TRUE,1.00E-01,0.1,0,45,group.2,20200723
dsspAB,SPO1,CFU,FALSE,1.00E-05,0.1,108,0,group.2,20200723
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,218,15,group.2,20200723
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,134,30,group.2,20200723
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,56,45,group.2,20200723
dsspAB,Goe2,PFU,FALSE,1.00E-06,0.1,66,0,group.2,20200723
dsspAB,Goe2,PFU,FALSE,1.00E-05,0.1,73,15,group.2,20200723
dsspAB,Goe2,PFU,FALSE,1.00E-04,0.1,265,30,group.2,20200723
dsspAB,Goe2,PFU,FALSE,1.00E-04,0.1,76,45,group.2,20200723
dsspAB,Goe2,PFU,TRUE,1.00E-03,0.1,51,0,group.2,20200723
dsspAB,Goe2,PFU,TRUE,1.00E-01,0.1,0,15,group.2,20200723
dsspAB,Goe2,PFU,TRUE,1.00E-01,0.1,0,30,group.2,20200723
dsspAB,Goe2,PFU,TRUE,1.00E-01,0.1,0,45,group.2,20200723
dsspAB,Goe2,CFU,FALSE,1.00E-06,0.1,66,0,group.2,20200723
dsspAB,Goe2,CFU,FALSE,1.00E-05,0.1,113,15,group.2,20200723
dsspAB,Goe2,CFU,FALSE,1.00E-05,0.1,58,30,group.2,20200723
dsspAB,Goe2,CFU,FALSE,1.00E-04,0.1,233,45,group.2,20200723
dsspAB,noPhage,CFU,FALSE,1.00E-06,0.1,167,0,group.2,20200723
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,324,15,group.2,20200723
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,175,30,group.2,20200723
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,70,45,group.2,20200723
wt,SPO1,PFU,FALSE,1.00E-06,0.1,49,0,group.3,20200728
wt,SPO1,PFU,FALSE,1.00E-06,0.1,52,15,group.3,20200728
wt,SPO1,PFU,FALSE,1.00E-06,0.1,41,30,group.3,20200728
wt,SPO1,PFU,FALSE,1.00E-06,0.1,39,45,group.3,20200728
wt,SPO1,PFU,TRUE,1.00E-03,0.1,21,0,group.3,20200728
wt,SPO1,PFU,TRUE,1.00E-01,0.1,0,15,group.3,20200728
wt,SPO1,PFU,TRUE,1.00E-01,0.1,0,30,group.3,20200728
wt,SPO1,PFU,TRUE,1.00E-01,0.1,0,45,group.3,20200728
wt,SPO1,CFU,FALSE,1.00E-05,0.1,206,0,group.3,20200728
wt,SPO1,CFU,FALSE,1.00E-05,0.1,241,15,group.3,20200728
wt,SPO1,CFU,FALSE,1.00E-05,0.1,214,30,group.3,20200728
wt,SPO1,CFU,FALSE,1.00E-05,0.1,226,45,group.3,20200728
wt,Goe2,PFU,FALSE,1.00E-05,0.1,49,0,group.3,20200728
wt,Goe2,PFU,FALSE,1.00E-05,0.1,50,15,group.3,20200728
wt,Goe2,PFU,FALSE,1.00E-05,0.1,52,30,group.3,20200728
wt,Goe2,PFU,FALSE,1.00E-05,0.1,49,45,group.3,20200728
wt,Goe2,PFU,TRUE,1.00E-03,0.1,53,0,group.3,20200728
wt,Goe2,PFU,TRUE,1.00E-01,0.1,0,15,group.3,20200728
wt,Goe2,PFU,TRUE,1.00E-01,0.1,0,30,group.3,20200728
wt,Goe2,PFU,TRUE,1.00E-01,0.1,0,45,group.3,20200728
wt,Goe2,CFU,FALSE,1.00E-05,0.1,270,0,group.3,20200728
wt,Goe2,CFU,FALSE,1.00E-05,0.1,241,15,group.3,20200728
wt,Goe2,CFU,FALSE,1.00E-05,0.1,205,30,group.3,20200728
wt,Goe2,CFU,FALSE,1.00E-05,0.1,210,45,group.3,20200728
wt,noPhage,CFU,FALSE,1.00E-06,0.1,102,0,group.3,20200728
wt,noPhage,CFU,FALSE,1.00E-06,0.1,89,15,group.3,20200728
wt,noPhage,CFU,FALSE,1.00E-06,0.1,81,30,group.3,20200728
wt,noPhage,CFU,FALSE,1.00E-06,0.1,84,45,group.3,20200728
dsspAB,SPO1,PFU,FALSE,1.00E-06,0.1,97,0,group.3,20200728
dsspAB,SPO1,PFU,FALSE,1.00E-06,0.1,63,15,group.3,20200728
dsspAB,SPO1,PFU,FALSE,1.00E-05,0.1,331,30,group.3,20200728
dsspAB,SPO1,PFU,FALSE,1.00E-05,0.1,173,45,group.3,20200728
dsspAB,SPO1,PFU,TRUE,1.00E-02,0.1,102,0,group.3,20200728
dsspAB,SPO1,PFU,TRUE,1.00E-01,0.1,0,15,group.3,20200728
dsspAB,SPO1,PFU,TRUE,1.00E-01,0.1,0,30,group.3,20200728
dsspAB,SPO1,PFU,TRUE,1.00E-01,0.1,0,45,group.3,20200728
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,291,0,group.3,20200728
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,173,15,group.3,20200728
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,105,30,group.3,20200728
dsspAB,SPO1,CFU,FALSE,1.00E-04,0.1,71,45,group.3,20200728
dsspAB,Goe2,PFU,FALSE,1.00E-06,0.1,57,0,group.3,20200728
dsspAB,Goe2,PFU,FALSE,1.00E-05,0.1,284,15,group.3,20200728
dsspAB,Goe2,PFU,FALSE,1.00E-05,0.1,186,30,group.3,20200728
dsspAB,Goe2,PFU,FALSE,1.00E-05,0.1,101,45,group.3,20200728
dsspAB,Goe2,PFU,TRUE,1.00E-03,0.1,198,0,group.3,20200728
dsspAB,Goe2,PFU,TRUE,1.00E-01,0.1,0,15,group.3,20200728
dsspAB,Goe2,PFU,TRUE,1.00E-01,0.1,0,30,group.3,20200728
dsspAB,Goe2,PFU,TRUE,1.00E-01,0.1,0,45,group.3,20200728
dsspAB,Goe2,CFU,FALSE,1.00E-05,0.1,214,0,group.3,20200728
dsspAB,Goe2,CFU,FALSE,1.00E-05,0.1,180,15,group.3,20200728
dsspAB,Goe2,CFU,FALSE,1.00E-05,0.1,109,30,group.3,20200728
dsspAB,Goe2,CFU,FALSE,1.00E-05,0.1,53,45,group.3,20200728
dsspAB,noPhage,CFU,FALSE,1.00E-06,0.1,147,0,group.3,20200728
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,296,15,group.3,20200728
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,193,30,group.3,20200728
dsspAB,noPhage,CFU,FALSE,1.00E-05,0.1,75,45,group.3,20200728
